"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
2.771710455E2,9.610756825E-1,2.535135413E0
2.776690109E2,1.012369443E0,1.650392179E0
2.781669171E2,1.019353680E0,3.288180909E0
2.786649033E2,9.093260156E-1,2.979464904E0
2.791628641E2,9.915455398E-1,3.382753225E0
2.796607868E2,9.920207106E-1,3.842555116E0
2.801587707E2,9.884111375E-1,3.841866539E0
2.806569427E2,9.984060790E-1,4.182168869E0
2.811549317E2,9.889442780E-1,4.332520974E0
2.816530118E2,9.923179948E-1,4.560955052E0
2.821511183E2,9.985256980E-1,4.438591805E0
2.826490045E2,9.932702746E-1,5.656476628E0
2.831468321E2,9.917830683E-1,5.154816433E0
2.836446333E2,3.471970409E0,4.581582023E0
2.841425132E2,7.764703647E0,3.232814542E0
2.846402142E2,1.199371434E1,2.815556864E0
2.851378809E2,1.499177550E1,3.990503613E0
2.856354880E2,1.803912632E1,4.118332961E0
2.861331853E2,2.015769214E1,4.988903802E0
2.866309244E2,2.176851884E1,4.760909811E0
2.871287295E2,2.405551092E1,4.509190967E0
2.876265610E2,2.483631906E1,4.643026606E0
2.881245511E2,2.574635572E1,4.438063671E0
2.886225532E2,2.666867395E1,4.183158668E0
2.891205781E2,2.746959843E1,3.938864351E0
2.896184140E2,2.844791855E1,3.620703110E0
2.901162552E2,2.925072874E1,3.628570164E0
2.906141706E2,3.002033174E1,3.508490163E0
2.911120347E2,3.059175363E1,3.224522651E0
2.916100241E2,3.114880393E1,3.392572437E0
2.921078699E2,3.181916721E1,3.217997036E0
2.931037458E2,2.698362835E1,4.383199995E0
2.936016177E2,2.196733066E0,2.644125315E0
2.940996799E2,9.611332314E-1,2.840146350E0
2.945977308E2,9.709637524E-1,3.153603931E0
2.950956757E2,9.619400077E-1,4.710180955E0
2.955935548E2,9.510081811E-1,4.529702544E0
2.960915518E2,9.647386075E-1,4.560410506E0
2.965898114E2,1.016835801E0,4.931637656E0
2.970877316E2,9.491678899E-1,6.194062902E0
2.975857465E2,1.014374225E0,5.979109511E0
2.980837352E2,1.000322759E0,5.837868612E0
2.985816918E2,1.006652786E0,5.946933839E0
2.990796569E2,1.021249904E0,6.118538948E0
2.995775328E2,1.003699232E0,6.146938880E0
3.000752365E2,1.007740402E0,6.174401981E0
3.005731011E2,9.471215859E-1,6.252035067E0
3.010711002E2,3.125687086E0,5.544920298E0
3.015689365E2,5.380633651E0,4.322734112E0
3.020668284E2,8.880235276E0,3.000940533E0
3.025646488E2,1.108879187E1,2.289914728E0
3.030624082E2,1.372932805E1,3.084665225E0
3.035602556E2,1.593553242E1,3.501507170E0
3.040581643E2,1.757012049E1,3.009028407E0
3.045560555E2,1.914325364E1,2.831219568E0
3.050538657E2,2.037927220E1,2.640922425E0
3.055518242E2,2.103897897E1,3.044235652E0
3.060497593E2,2.195969643E1,2.843152201E0
3.065477318E2,2.301608702E1,2.832868234E0
3.070457052E2,2.407331227E1,2.549858546E0
3.075436718E2,2.494786103E1,2.071977239E0
3.080418207E2,2.555929765E1,2.072621190E0
3.085398403E2,2.627850523E1,2.222450530E0
3.090377166E2,2.685003327E1,2.248509279E0
3.095357367E2,2.756922833E1,2.285698039E0
3.100336524E2,2.829014096E1,2.397531546E0
3.105316277E2,2.889974591E1,2.158659861E0
3.110295813E2,2.941528347E1,2.028947332E0
3.115276259E2,2.977317316E1,1.744848030E0
3.120257082E2,3.043151940E1,1.666804338E0
3.125237924E2,3.094739956E1,1.524773614E0
3.130218132E2,3.105016257E1,1.461978686E0
3.135196533E2,3.146812879E1,1.496206159E0
3.140175807E2,3.231215862E1,1.212449438E0
3.145153553E2,2.583170001E1,2.925093801E0
3.150131784E2,4.468615601E0,1.145227257E0
3.155111113E2,1.075737689E0,1.065551144E-1
3.160092896E2,1.030326849E0,6.010667307E-1
3.165072803E2,1.019781263E0,1.071273693E0
3.170053485E2,1.008274141E0,1.433381616E0
3.175034999E2,1.009119711E0,1.173831148E0
3.180015568E2,9.955719494E-1,1.397097353E0
3.184995896E2,9.989443518E-1,1.537680199E0
3.189975405E2,9.810784300E-1,1.803941041E0
3.194955754E2,9.814309888E-1,1.797731939E0
3.199935991E2,9.919019226E-1,1.852919733E0
3.204914954E2,9.816661375E-1,2.003899685E0
3.209895897E2,9.744523894E-1,2.105992871E0
3.214875515E2,9.573571957E-1,1.969024360E0
3.219853889E2,9.852158504E-1,1.949274592E0
3.224832806E2,9.885887871E-1,2.137729469E0
3.229813706E2,9.881744021E-1,2.270464746E0
3.234792857E2,9.813722426E-1,2.472724437E0
3.239773023E2,9.812546777E-1,2.403926814E0
3.244753580E2,9.850388901E-1,2.445906684E0
3.249732325E2,9.710218687E-1,2.486276704E0
3.254712511E2,9.745691467E-1,2.500275991E0
3.259690455E2,9.745691467E-1,2.918032059E0
3.264670306E2,9.642764165E-1,3.154169535E0
3.274629585E2,9.987649266E-1,3.418170876E0
3.279609214E2,1.071530512E0,4.145416317E0
3.284588491E2,2.345274125E0,4.508874124E0
3.289569342E2,5.795758729E0,4.423440858E0
3.294548779E2,1.037199736E1,4.070755929E0
3.299528924E2,1.448194511E1,2.655947263E0
3.304507150E2,1.810981846E1,2.456645157E0
3.309487833E2,2.089649039E1,3.008572547E0
3.314467901E2,2.388230271E1,2.522165794E0
3.319446107E2,2.497450239E1,2.538470699E0
3.324424491E2,2.625099723E1,2.157928405E0
3.329403628E2,2.753152549E1,1.840549853E0
3.334380910E2,2.850171014E1,1.375826461E0
3.339360064E2,2.961057141E1,1.429258316E0
3.344338573E2,3.157799939E1,3.657956267E0
3.349319126E2,5.441429578E0,2.400313751E0
3.354298852E2,1.031006492E0,1.058493805E0
3.359278275E2,9.949162671E-1,1.162979952E0
3.364258361E2,1.002616721E0,1.263495943E0
3.369238809E2,1.002857088E0,1.637949870E0
3.374217545E2,1.005868804E0,1.489739075E0
3.379196565E2,1.012733394E0,1.520617914E0
3.384176682E2,1.009180135E0,1.403791737E0
3.389156554E2,1.019475755E0,1.383206310E0
3.394138179E2,1.019353680E0,1.503103039E0
3.399118744E2,1.005868804E0,3.309499420E0
3.404099554E2,1.020147978E0,4.907179228E0
3.409080586E2,1.017140659E0,5.458008915E0
3.414061488E2,1.006532138E0,5.381473082E0
3.419041907E2,1.020453792E0,5.382435230E0
3.424020832E2,1.023643433E0,5.381151931E0
3.428998109E2,9.964076272E-1,5.344967099E0
3.433976862E2,1.013158303E0,5.335927267E0
3.438955216E2,1.023827578E0,5.375302956E0
3.443931896E2,1.231866768E0,5.300856280E0
3.448908926E2,3.062202286E0,4.837003068E0
3.453886577E2,5.890329778E0,4.937743190E0
3.458863777E2,1.115200777E1,3.356018788E0
3.463841833E2,1.604035512E1,3.747892925E0
3.468820463E2,1.937669252E1,3.572498752E0
3.473799238E2,2.151692153E1,3.022989801E0
3.478778039E2,2.353471700E1,3.149560120E0
3.483758303E2,2.547463317E1,2.747666059E0
3.488739110E2,2.720961689E1,2.599607641E0
3.493718676E2,2.918131529E1,2.827612620E0
3.498700320E2,1.280502186E1,2.285165049E0
3.503679971E2,1.119114651E0,4.009202012E0
3.508660705E2,1.218510144E0,4.102205997E0
3.513642317E2,7.759831143E-1,4.543621919E0
3.518622172E2,9.902498082E-1,5.812034055E0
3.523603055E2,1.051874439E0,6.323966162E0
3.528583771E2,1.024134568E0,5.768438553E0
3.533563618E2,1.055247792E0,5.820509639E0
3.538542738E2,1.055247792E0,5.973572074E0
3.548503263E2,3.270585294E0,5.411046268E0
3.553482654E2,9.391606976E0,5.625282476E0
3.558460598E2,1.406198555E1,5.023805924E0
3.563439750E2,1.776396691E1,4.457782829E0
3.568417675E2,1.994056910E1,3.922650953E0
3.573397884E2,2.241393748E1,4.632785681E0
3.578376918E2,2.449480019E1,4.908879607E0
3.583357769E2,2.582346964E1,4.938008093E0
3.588337961E2,2.653762613E1,4.862583791E0
3.593317369E2,2.743525023E1,4.410449505E0
3.598298110E2,2.833515530E1,4.236680161E0
3.603278558E2,2.936721620E1,4.092560059E0
3.608258438E2,2.399155201E1,5.768844336E0
3.613237856E2,3.372646049E0,5.810666447E0
3.618216499E2,1.045865325E0,7.012292201E0
3.623195906E2,1.051432903E0,6.076794272E0
3.628176958E2,1.041376767E0,5.938858335E0
3.633157370E2,1.038314311E0,6.046412177E0
3.638138534E2,1.031253983E0,6.041932595E0
3.643119868E2,1.017140659E0,5.822177428E0
3.648100146E2,1.024441840E0,5.742929872E0
3.653080749E2,1.031253983E0,5.861683961E0
3.658060681E2,1.044186581E0,5.982896990E0
3.663038161E2,1.038065181E0,5.874940977E0
3.668016382E2,5.049410579E0,4.332005750E0
3.672993997E2,1.713939713E1,3.537341179E0
3.677972720E2,2.286997320E1,4.078496680E0
3.682952678E2,1.594877743E1,4.345818396E0
3.687932616E2,1.495456251E0,2.768465377E0
3.692910882E2,1.046804970E0,3.209486372E0
3.697889064E2,1.029648002E0,3.472893105E0
3.702867007E2,1.026216569E0,3.510510709E0
3.707847212E2,1.022417654E0,3.533180920E0
3.712828137E2,1.012551386E0,3.551757064E0
3.717807798E2,1.036572906E0,3.555176535E0
3.722789199E2,1.036076434E0,3.632082874E0
3.727770410E2,1.022968867E0,3.579540428E0
3.732749354E2,9.999379940E-1,3.143723601E0
3.737728627E2,5.643613978E0,2.847506228E0
3.742707714E2,1.453420746E1,4.103096113E0
3.747687950E2,1.877913457E1,3.937865957E0
3.752667971E2,2.015351253E1,4.751297198E0
3.757648737E2,2.123813818E1,4.376870054E0
3.762628418E2,2.222333215E1,4.080116727E0
3.767607457E2,2.312648773E1,3.936149282E0
3.772587831E2,2.393548588E1,3.918045130E0
3.777565272E2,2.465274997E1,3.828017217E0
3.782545123E2,2.536854675E1,3.552148020E0
3.787525243E2,2.605587769E1,3.320192799E0
3.792504446E2,2.688355202E1,3.232514677E0
3.797487048E2,2.792277860E1,3.335492248E0
3.802465109E2,2.732200547E1,3.649531583E0
3.807444439E2,1.528561324E0,2.528208848E0
3.812423437E2,1.021194807E0,2.767017328E0
3.817403123E2,1.019109522E0,3.112923538E0
3.822382645E2,1.176769046E0,3.738230408E0
3.827361089E2,1.002977267E0,3.537195549E0
3.832340646E2,1.001956282E0,3.755762309E0
3.837320713E2,1.012794046E0,3.846661980E0
3.847277955E2,1.040004437E0,4.255613861E0
3.852257510E2,1.043623603E0,4.246132941E0
3.857234172E2,1.023275440E0,4.424703190E0
3.862211675E2,1.016348369E0,4.431266354E0
3.867190106E2,1.022968867E0,4.338054872E0
3.872167360E2,1.043436045E0,4.194160017E0
3.877143826E2,1.050739824E0,4.093426372E0
3.882120827E2,1.297519187E0,4.282428647E0
3.887098257E2,4.874503058E0,2.352734551E0
3.892075974E2,1.150990642E1,2.877608022E0
3.897052795E2,1.694997124E1,2.563344411E0
3.902029904E2,2.085597974E1,2.426397877E0
3.907006988E2,2.342399616E1,2.174744227E0
3.911984843E2,2.488677376E1,2.200433820E0
3.916961580E2,2.612568450E1,3.017772891E0
3.921939541E2,2.678600627E1,2.913612647E0
3.926918831E2,2.746270210E1,2.981341644E0
3.931898579E2,2.797571558E1,2.955498154E0
3.936877725E2,2.850795769E1,2.866465802E0
3.941857038E2,2.905923450E1,2.748710128E0
3.946834972E2,2.777498873E1,3.722929108E0
3.951812060E2,3.651594566E0,3.155929007E0
3.956789901E2,1.003338167E0,4.949869616E0
3.961767801E2,1.016835801E0,5.146411353E0
3.966746212E2,1.117573001E0,5.495994350E0
3.971724977E2,9.412742968E-1,5.698007017E0
3.976703439E2,1.026585442E0,4.734654742E0
3.981681083E2,1.051243773E0,5.092182606E0
3.986658470E2,1.026893154E0,5.124740040E0
3.991636714E2,1.027077752E0,5.200623525E0
3.996615173E2,1.023336737E0,5.236539490E0
4.001594491E2,2.857097782E0,4.954779225E0
4.006574251E2,9.619327454E0,4.048358860E0
4.011553913E2,1.704434140E1,7.511483968E0
4.016532126E2,2.094134792E1,6.913199408E0
4.021510553E2,2.367049481E1,6.306586881E0
4.026491322E2,2.504100194E1,5.707238537E0
4.031473701E2,2.648874891E1,5.669821917E0
4.036453342E2,2.770453032E1,5.518675581E0
4.041434523E2,2.780819470E1,5.322485564E0
4.046413264E2,1.381143247E1,5.244064005E0
4.051392538E2,9.692745260E-1,3.618277710E0
4.056370942E2,1.023030225E0,3.877192258E0
4.061350304E2,9.786447642E-1,4.247147207E0
4.066329225E2,1.006230453E0,4.537880841E0
4.071308710E2,9.892999300E-1,4.655018025E0
4.076288021E2,9.926153623E-1,5.080744120E0
4.081267969E2,9.976040526E-1,6.430422816E0
4.086248166E2,1.007377570E0,6.060013614E0
4.091229840E2,1.003518619E0,5.826272444E0
4.096209999E2,9.964674470E-1,5.559826890E0
4.101190891E2,1.006713121E0,5.726242942E0
4.106171744E2,1.007196349E0,6.205072925E0
4.111150692E2,9.902498082E-1,6.447733694E0
4.116133012E2,9.972448044E-1,6.319430220E0
4.121112877E2,9.912014171E-1,6.470871158E0
4.126094298E2,1.010815015E0,6.087213077E0
4.131076560E2,1.014009094E0,5.908956098E0
4.136056764E2,1.000202709E0,5.949413527E0
4.141036054E2,1.000442742E0,6.015449082E0
4.151000847E2,1.032182689E0,6.720217737E0
4.155983481E2,1.557125197E0,6.185355468E0
4.160964141E2,3.787442622E0,4.762790373E0
4.165946073E2,9.427934356E0,4.094756745E0
4.170925789E2,1.498513438E1,4.608372228E0
4.175905737E2,1.715822380E1,4.501742154E0
4.180886036E2,1.857537880E1,4.692354768E0
4.185866581E2,1.939541317E1,4.245579694E0
4.190846570E2,2.095930450E1,3.804609595E0
4.195826071E2,2.204669763E1,3.475678375E0
4.200805833E2,2.261540826E1,3.654257293E0
4.205786128E2,2.343505550E1,3.501112978E0
4.210766055E2,2.415777407E1,3.464166640E0
4.215745390E2,2.458586349E1,3.650078187E0
4.220726189E2,2.492320776E1,3.524621631E0
4.225705938E2,2.535622587E1,3.443175906E0
4.230685918E2,2.577250326E1,3.454746599E0
4.235665000E2,2.606838972E1,3.401585148E0
4.240644093E2,2.660163720E1,3.320424424E0
4.245622824E2,2.687580689E1,3.368027409E0
4.250604545E2,2.718676409E1,3.324918522E0
4.255586057E2,2.740298250E1,3.315397710E0
4.260567652E2,2.773981819E1,3.402562616E0
4.265548494E2,2.806888087E1,3.454941254E0
4.270529918E2,2.835448543E1,3.454678914E0
4.275511572E2,2.856533883E1,3.188206249E0
4.280492409E2,2.876753266E1,3.065793903E0
4.285472008E2,2.929020212E1,3.160791518E0
4.290452153E2,2.962490910E1,3.189811820E0
4.295431274E2,2.991756583E1,3.091729763E0
4.300410269E2,3.026820318E1,3.009476493E0
4.305390605E2,3.060921523E1,2.894179988E0
4.310369813E2,3.089193658E1,2.909697495E0
4.315352403E2,3.120719817E1,2.775851585E0
4.320331862E2,3.158585709E1,2.736758825E0
4.325312954E2,3.182186510E1,2.763967607E0
4.330294602E2,3.233718004E1,2.715010566E0
4.335274693E2,3.254115227E1,2.441192859E0
4.340255864E2,3.291381869E1,2.431996879E0
4.345238936E2,3.165934658E1,1.589296924E0
4.350220443E2,8.052250867E0,2.090752093E0
4.355202977E2,1.167746096E0,2.770765261E0
4.360183957E2,1.006411423E0,3.068137103E0
4.365164828E2,1.060911681E0,3.357805108E0
4.370145540E2,1.018423139E0,3.594542942E0
4.375124990E2,1.032955641E0,3.882635854E0
4.380104476E2,9.974243962E-1,4.647192694E0
4.385085022E2,1.048311879E0,4.968405767E0
4.390064858E2,1.018987439E0,5.105934228E0
4.395045564E2,1.023582099E0,5.094679462E0
4.400027194E2,1.020331484E0,5.163758548E0
4.405007047E2,1.020392634E0,5.283330555E0
4.409990724E2,9.962881996E-1,5.412442585E0
4.414974506E2,1.006713121E0,5.413087664E0
4.419957322E2,1.009906085E0,5.374341615E0
4.424940787E2,9.967065121E-1,5.387447843E0
4.429923558E2,1.006592459E0,5.456707658E0
4.434905474E2,1.009966700E0,5.572114990E0
4.439886703E2,1.010511889E0,5.639792823E0
4.444866293E2,9.967662725E-1,5.632984350E0
4.449846391E2,1.000442742E0,5.535561417E0
4.459809553E2,3.118975689E0,5.135047154E0
4.464788555E2,1.062828824E1,3.715920591E0
4.469765878E2,1.728665451E1,3.568747680E0
4.474744224E2,2.162743370E1,5.380093936E0
4.479723281E2,2.415564268E1,5.244373757E0
4.484703643E2,2.539354617E1,5.173322982E0
4.489685192E2,2.675407062E1,5.056042117E0
4.494666127E2,2.815851995E1,4.906660178E0
4.499645280E2,2.905228774E1,4.538448496E0
4.504625332E2,2.972493437E1,4.783857411E0
4.509605639E2,1.412856834E1,3.560947172E0
4.514585336E2,8.922058092E-1,4.570415481E0
4.519565990E2,9.906064000E-1,5.088026513E0
4.524545771E2,9.992437279E-1,5.035235041E0
4.529527247E2,1.007619397E0,5.250862346E0
4.534509120E2,1.000502744E0,5.903559792E0
4.539491047E2,1.018484364E0,6.669702397E0
4.544473072E2,1.005146381E0,6.787923844E0
4.549456032E2,9.942840526E-1,6.729999249E0
4.554438393E2,9.912014171E-1,6.613559258E0
4.559419563E2,1.004241460E0,6.561316780E0
4.564400193E2,1.014617760E0,6.588864267E0
4.569378800E2,9.973046293E-1,6.540558281E0
4.574357662E2,1.025364568E0,6.754556262E0
4.579337990E2,1.072328960E0,6.746015758E0
4.584318123E2,4.435681034E0,5.538390449E0
4.589297849E2,9.657013008E0,5.764024243E0
4.594277875E2,1.429182600E1,4.983299923E0
4.599258137E2,1.859516859E1,4.889462652E0
4.604239594E2,2.187548960E1,4.020333543E0
4.609220464E2,2.532647363E1,3.981447141E0
4.614201367E2,1.640078945E1,4.753685638E0
4.619181873E2,3.255069682E0,5.023072852E0
4.624163281E2,1.516369379E0,5.647052048E0
4.629143261E2,1.020821089E0,5.854182064E0
4.634121959E2,1.024257474E0,5.901801547E0
4.639103082E2,1.024134568E0,5.914701158E0
4.644082205E2,1.027940480E0,5.947430052E0
4.649064571E2,1.010511889E0,5.867788268E0
4.654046912E2,1.020698595E0,5.468877321E0
4.659030155E2,1.005929045E0,4.710500280E0
4.664009488E2,9.994833007E-1,4.302816257E0
4.668989988E2,9.957509392E-1,4.233232871E0
4.673971048E2,9.887072872E-1,4.174421092E0
4.678952677E2,9.885295950E-1,4.183916653E0
4.683934936E2,9.884704099E-1,4.251946387E0
4.688916506E2,9.954526270E-1,4.317315472E0
4.693898875E2,9.919613130E-1,4.282923616E0
4.698881896E2,9.852158504E-1,4.218563495E0
4.703864079E2,9.919613130E-1,3.883331651E0
4.708845632E2,9.958702381E-1,4.674099428E0
4.713828635E2,9.958702381E-1,4.923054260E0
4.723795204E2,2.401319307E0,4.770439748E0
4.728777603E2,5.092317434E0,4.260661306E0
4.733760405E2,9.860082161E0,3.429055556E0
4.738743298E2,1.450965472E1,3.307153773E0
4.743725878E2,1.745920222E1,2.891702604E0
4.748709325E2,1.995394166E1,2.652803536E0
4.753692934E2,2.207208918E1,2.323120921E0
4.758675910E2,2.374150224E1,1.542521325E0
4.763658305E2,2.514251938E1,1.325305188E0
4.768641409E2,2.675422160E1,1.302473367E0
4.773623464E2,2.029953513E1,3.031900959E0
4.778605075E2,2.065776924E0,1.963929119E0
4.783587381E2,1.010633176E0,2.247223387E0
4.788569394E2,9.880561240E-1,2.129725784E0
4.793550243E2,9.920207106E-1,2.949720134E0
4.798531447E2,9.985854706E-1,3.650041043E0
4.803512749E2,9.574718209E-1,3.198838223E0
4.808495003E2,9.884111375E-1,3.151124311E0
4.813474940E2,9.984658372E-1,3.400052682E0
4.818456270E2,9.953334282E-1,3.489992420E0
4.823437036E2,9.613402128E-1,3.461721272E0
4.828418387E2,3.176597082E0,3.299825438E0
4.833400128E2,6.882015804E0,3.391695107E0
4.838382824E2,1.255673094E1,4.673702157E0
4.843364460E2,1.703275120E1,5.852015703E0
4.848345445E2,2.079605664E1,6.223398679E0
4.853324561E2,2.442754565E1,5.501623761E0
4.858302363E2,2.616693702E1,5.534827118E0
4.863280661E2,2.739322185E1,5.445407081E0
4.868258480E2,2.818620963E1,5.123615390E0
4.873236071E2,2.880676514E1,5.060491560E0
4.878214521E2,2.926071329E1,5.027523577E0
4.883193259E2,2.997301675E1,4.801386131E0
4.888172033E2,3.068800575E1,5.257640341E0
4.893152827E2,3.183526586E1,5.095647561E0
4.898131745E2,7.591970767E0,6.483455350E0
4.903111450E2,7.806689654E-1,6.093112551E0
4.908091122E2,9.554712813E-1,6.363581233E0
4.913071926E2,9.914396052E-1,7.351177693E0
4.918050855E2,1.005811033E0,7.328440152E0
4.923031686E2,1.015837189E0,7.265271100E0
4.928013382E2,1.005629659E0,7.425371293E0
4.932993500E2,1.009194152E0,7.531230213E0
4.937973965E2,1.005992375E0,7.566881390E0
4.942955598E2,9.918567335E-1,7.432144568E0
4.947935426E2,1.005085932E0,7.262248055E0
4.952916437E2,9.882352573E-1,7.302110642E0
4.957898098E2,1.009072894E0,7.357625068E0
4.962880331E2,1.029670192E0,7.330084548E0
4.967862117E2,1.029360913E0,7.368547451E0
4.972844097E2,2.212980546E0,7.027703606E0
4.977827944E2,5.356892643E0,6.618043878E0
4.982809626E2,9.003632363E0,5.662485048E0
4.987790868E2,1.313980922E1,6.290725277E0
4.992772502E2,1.673170839E1,6.348038830E0
4.997755358E2,1.969066456E1,5.980428247E0
5.002739654E2,2.157758410E1,5.148737913E0
5.007721575E2,2.300176721E1,5.259975735E0
5.012702817E2,2.412879343E1,5.775739965E0
5.017684602E2,2.533545362E1,5.668313868E0
5.022667020E2,2.610424067E1,5.691783087E0
5.027649023E2,2.665808570E1,5.670920258E0
5.032630554E2,2.730719179E1,5.482313473E0
5.037612087E2,2.814307080E1,5.365525185E0
5.042591900E2,2.897644835E1,5.293157930E0
5.047572387E2,2.969891364E1,4.873113331E0
5.052553138E2,2.274834969E1,6.330524892E0
5.057534911E2,3.330003275E0,6.855503456E0
5.062515496E2,9.960493351E-1,6.749295402E0
5.067497696E2,1.031006492E0,6.716018167E0
5.072479360E2,1.018423139E0,6.896633988E0
5.077461201E2,9.850885471E-1,6.458880140E0
5.082443947E2,1.014617760E0,6.588864267E0
5.087425796E2,1.000682890E0,6.628410807E0
5.092410080E2,1.004120882E0,6.220885539E0
5.102376001E2,9.937471002E-1,6.495650704E0
5.107358487E2,1.011421911E0,6.532706976E0
5.112341338E2,9.973046293E-1,6.496423549E0
5.117323556E2,1.011179084E0,6.517570784E0
5.122305926E2,9.906658411E-1,6.521742100E0
5.127287141E2,1.004422237E0,6.379079064E0
5.132269816E2,1.024564722E0,6.280933581E0
5.137252202E2,1.900370279E0,5.891298874E0
5.142234820E2,6.553862504E0,5.154403631E0
5.147218083E2,1.284218067E1,5.382129023E0
5.152199993E2,1.659961841E1,6.156344738E0
5.157182119E2,1.977958228E1,5.132856695E0
5.162164336E2,2.230061301E1,5.330548322E0
5.167147696E2,2.416950624E1,4.917884651E0
5.172129223E2,2.494088621E1,4.925114917E0
5.177110111E2,2.566966309E1,4.858519011E0
5.182091925E2,2.634846063E1,4.860012154E0
5.187074092E2,2.690622906E1,4.709905255E0
5.192054720E2,2.780283052E1,4.533335797E0
5.197038517E2,2.854571156E1,4.426598612E0
5.202018987E2,2.900629768E1,5.181785764E0
5.207001870E2,2.943887212E1,5.209246105E0
5.211986695E2,2.976558382E1,5.021379621E0
5.216970985E2,3.023632873E1,4.650709985E0
5.221953345E2,3.060161711E1,4.666698154E0
5.226935126E2,3.096317274E1,4.703490043E0
5.231916428E2,3.140840685E1,4.747453294E0
5.236898253E2,3.175892669E1,4.645997802E0
5.241879094E2,3.270154538E1,4.178531740E0
5.246859970E2,9.858251464E0,5.362010710E0
5.251841735E2,9.020059894E-1,6.498406869E0
5.256825577E2,9.938663305E-1,6.679702393E0
5.261809356E2,9.838466872E-1,6.702052211E0
5.266792467E2,9.880571163E-1,7.300808295E0
5.271775108E2,1.009133519E0,7.422424935E0
5.276758360E2,9.921548565E-1,7.573202758E0
5.281740280E2,9.853847666E-1,7.750096631E0
5.286721624E2,9.924531588E-1,7.994959149E0
5.291703254E2,1.003694545E0,8.326556011E0
5.296686285E2,1.008113846E0,8.310809044E0
5.301668339E2,9.927517357E-1,8.102107858E0
5.306649263E2,1.689923809E0,7.156243271E0
5.311631683E2,4.215947064E0,7.808856907E0
5.316613619E2,7.780582924E0,5.202527990E0
5.321594432E2,1.209978068E1,4.790597131E0
5.326575705E2,1.592284547E1,5.121948829E0
5.331557119E2,1.909846747E1,5.940741105E0
5.336537431E2,2.176334495E1,6.203685262E0
5.341518053E2,2.313404239E1,5.562062649E0
5.346497391E2,2.431799241E1,5.699469346E0
5.351477257E2,2.538837560E1,5.497722368E0
5.356456926E2,2.622187647E1,5.371252628E0
5.361438420E2,2.729253404E1,5.086461123E0
5.366419839E2,2.816850616E1,4.705413150E0
5.371401586E2,2.931115508E1,4.582776215E0
5.376385467E2,3.028292763E1,3.920131639E0
5.381367147E2,3.197536889E1,3.117683197E0
5.386350078E2,1.303502848E1,6.085878735E0
5.391331339E2,1.600119826E0,6.113219077E0
5.396312756E2,8.303654091E-1,7.421685487E0
5.401293369E2,1.000202709E0,6.007216694E0
5.406273936E2,9.973046293E-1,6.292623609E0
5.416234774E2,9.877604203E-1,6.915647496E0
5.421214429E2,1.011604131E0,6.893653179E0
5.426192929E2,1.010875740E0,6.328868870E0
5.431172551E2,9.974842426E-1,6.565492366E0
5.436150812E2,1.001343916E0,6.680283683E0
5.441128456E2,1.004181120E0,6.581291845E0
5.446108545E2,1.007982403E0,6.587037742E0
5.451087533E2,9.941049723E-1,6.413053597E0
5.456067383E2,1.007861339E0,6.433436415E0
5.461047567E2,9.907253842E-1,6.590040855E0
5.466027827E2,1.004965247E0,6.708638786E0
5.471008252E2,1.001404026E0,6.867335345E0
5.475986785E2,1.015227157E0,6.935586415E0
5.480964758E2,1.280580556E0,6.926301105E0
5.485941791E2,2.973507783E0,7.197161275E0
5.490919858E2,5.196913341E0,7.144091705E0
5.495897350E2,9.097170998E0,6.553132269E0
5.500874210E2,1.472869839E1,6.637894232E0
5.505852916E2,1.896878922E1,6.249964480E0
5.510832408E2,2.217654693E1,5.837749008E0
5.515810905E2,2.420282519E1,5.554825864E0
5.520790485E2,2.635904717E1,5.984859817E0
5.525771290E2,1.150617203E1,5.453935862E0
5.530750214E2,3.030819492E0,6.597984225E0
5.535730774E2,8.594406654E-1,7.362592541E0
5.540711545E2,9.345729056E-1,7.232412982E0
